,h2
YAL051W,0.18734048
YBL005W,0.281140648
YBL021C,0.163712574
YBL054W,0.15466055
YBL103C,0.051711958
YBR033W,0.334960237
YBR049C,0.27059171
YBR066C,0.689371584
YBR083W,0.746835001
YBR112C,0.116569659
YBR182C,0.332102014
YBR215W,0.045950782
YBR239C,0.363220125
YBR240C,0.523308866
YBR297W,0.53524552
YCL055W,0.684445501
YCR018C,0.847987666
YCR065W,0.326373583
YCR084C,0.304903863
YCR106W,0.74446993
YDL020C,0.414826454
YDL048C,0.330820768
YDL056W,0.147893299
YDL106C,0.151023142
YDL170W,0.306365531
YDL233W,0.244658676
YDR009W,0.518050674
YDR034C,0.295617321
YDR043C,0.314713337
YDR081C,0.068942475
YDR096W,0.245790894
YDR123C,0.086441958
YDR146C,0.188034337
YDR174W,0.276358416
YDR207C,0.164186686
YDR213W,0.336930753
YDR216W,0.589700388
YDR253C,0.3259314
YDR259C,0.779477131
YDR277C,0.196357823
YDR310C,0.125797818
YDR421W,0.181035297
YDR423C,0.830201665
YDR451C,0.60909553
YDR463W,0.346910648
YDR501W,0.290047496
YDR520C,0.035593837
YEL009C,0.372117288
YER028C,0.468357609
YER040W,0.068403244
YER045C,0.358125188
YER068W,0.110908455
YER088C,0.313343685
YER109C,0.914945797
YER111C,0.155174435
YER130C,0.370115506
YER169W,0.132709191
YER184C,0.496019574
YFL021W,0.24426184
YFL031W,0.360958534
YFL052W,0.741515891
YFR034C,0.223197439
YGL013C,0.224602986
YGL035C,0.559672252
YGL071W,0.132855244
YGL073W,0.070334336
YGL096W,0.430195013
YGL162W,0.523345006
YGL166W,0.323768666
YGL209W,0.431536395
YGL237C,0.431146215
YGL252C,0.662149819
YGL254W,0.395959368
YGR044C,0.443256565
YGR249W,0.381560533
YGR288W,0.269890649
YHL009C,0.460549395
YHL020C,0.528563326
YHL027W,0.641855998
YHR006W,0.141781298
YHR084W,0.5834225
YHR124W,0.183023605
YHR178W,0.485673461
YHR206W,0.163084155
YIL036W,0.155306351
YIL101C,0.575211365
YIL122W,0.283930556
YIL131C,0.207642243
YIR017C,0.390580688
YIR018W,0.210967909
YIR023W,0.177160418
YIR033W,0.663867637
YJL056C,0.390239363
YJL103C,0.35601841
YJL110C,0.214105931
YJL206C,0.297049332
YJR060W,0.822853543
YJR094C,0.662976257
YJR127C,0.65552486
YJR147W,0.329019
YKL015W,0.347326892
YKL020C,0.154846365
YKL032C,0.250733922
YKL038W,0.24782445
YKL043W,0.494619382
YKL062W,0.456748101
YKL109W,0.397552679
YKL112W,0.306598149
YKL185W,0.383146758
YKR034W,0.687437402
YKR064W,0.068325122
YKR077W,0.264522411
YKR099W,0.171747517
YLR014C,0.126338223
YLR098C,0.253958374
YLR113W,0.37019586
YLR131C,0.219732721
YLR176C,0.067444963
YLR183C,0.281663011
YLR223C,0.112566355
YLR228C,0.280292427
YLR256W,0.741040432
YLR266C,0.179594377
YLR403W,0.305477729
YLR451W,0.08002455
YML007W,0.385586992
YML027W,0.23312449
YML051W,0.232224526
YML076C,0.203156062
YML081W,0.137838738
YML099C,0.178321517
YMR016C,0.349227965
YMR019W,0.396244731
YMR021C,0.238951899
YMR037C,0.192349768
YMR042W,0.069508309
YMR043W,0.238418745
YMR070W,0.32176759
YMR164C,0.072234156
YMR172W,0.051032991
YMR182C,0.385805848
YMR280C,0.404066467
YNL027W,0.185548687
YNL068C,0.381477549
YNL103W,0.116483219
YNL167C,0.256786337
YNL199C,0.146668177
YNL216W,0.486027
YNL314W,0.133096295
YOL028C,0.133590651
YOL067C,0.067949908
YOL089C,0.265272109
YOL108C,0.148213586
YOL116W,0.284780205
YOR028C,0.379694862
YOR032C,0.639021598
YOR066W,0.324319058
YOR113W,0.48438401
YOR140W,0.208560644
YOR162C,0.170472964
YOR230W,0.391589857
YOR337W,0.173278451
YOR344C,0.285751131
YOR358W,0.16392646
YOR363C,0.480756829
YOR372C,0.172814722
YOR380W,0.248788321
YPL038W,0.357470425
YPL075W,0.225104143
YPL089C,0.074500255
YPL128C,0.108285649
YPL133C,0.216516066
YPL177C,0.335179797
YPL202C,0.19005061
YPL230W,0.359777692
YPL248C,0.528915944
YPR008W,0.204978963
YPR065W,0.36634548
YPR104C,0.176431234
YPR196W,0.207435818
YPR199C,0.828621435
YJL089W,0.312
YLR013W,0.5095
